iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,risk_level
ITA,Europe,Italy,2020-02-24,79.0,0.0,10.857,2.0,0.0,0.286,1.325,0.0,0.182,0.034,0.0,0.005,3.54,26.0,0.44,127.0,2.151,,,,,4324.0,,0.073,,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-02-25,79.0,0.0,10.857,2.0,0.0,0.286,1.325,0.0,0.182,0.034,0.0,0.005,3.5,35.0,0.593,150.0,2.541,,,,,8623.0,4299.0,0.146,0.073,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-02-26,79.0,0.0,10.857,2.0,0.0,0.286,1.325,0.0,0.182,0.034,0.0,0.005,3.44,36.0,0.61,164.0,2.778,,,1197.0,20.275,9587.0,964.0,0.162,0.016,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-02-27,79.0,0.0,10.857,2.0,0.0,0.286,1.325,0.0,0.182,0.034,0.0,0.005,3.36,56.0,0.949,304.0,5.149,,,1422.0,24.086,12014.0,2427.0,0.203,0.041,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-02-28,79.0,0.0,10.857,2.0,0.0,0.286,1.325,0.0,0.182,0.034,0.0,0.005,3.25,64.0,1.084,409.0,6.928,,,1674.0,28.355,15695.0,3681.0,0.265,0.062,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-02-29,79.0,0.0,10.857,2.0,0.0,0.286,1.325,0.0,0.182,0.034,0.0,0.005,3.13,105.0,1.779,506.0,8.571,,,1937.0,32.81,18661.0,2966.0,0.315,0.05,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-03-01,1128.0,1049.0,149.857,29.0,27.0,3.857,18.92,17.595,2.514,0.486,0.453,0.065,3.03,140.0,2.371,779.0,13.195,,,2225.0,37.688,21127.0,2466.0,0.357,0.042,,,,,tests performed,,,,,,,,,,,,,,64.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,-9038.899,-6.82,-1.08,-151.91281,Low
ITA,Europe,Italy,2020-03-02,1128.0,0.0,149.857,29.0,0.0,3.857,18.92,0.0,2.514,0.486,0.0,0.065,2.86,166.0,2.812,908.0,15.38,,,2696.0,45.666,23345.0,2218.0,0.394,0.037,2717.0,0.046,0.095,10.5,tests performed,,,,,,,,,,,,,,69.91,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-03-03,1128.0,0.0,149.857,29.0,0.0,3.857,18.92,0.0,2.514,0.486,0.0,0.065,2.75,229.0,3.879,1263.0,21.393,,,3234.0,54.779,25856.0,2511.0,0.436,0.042,2462.0,0.042,0.1265,7.9,tests performed,,,,,,,,,,,,,,69.91,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Low
ITA,Europe,Italy,2020-03-04,1128.0,0.0,149.857,29.0,0.0,3.857,18.92,0.0,2.514,0.486,0.0,0.065,2.64,295.0,4.997,1641.0,27.796,,,3863.0,65.433,29837.0,3981.0,0.504,0.067,2893.0,0.049,0.1302,7.7,tests performed,,,,,,,,,,,,,,72.69,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,Medium
